"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"2693","Indian Lake Power and Light","New York","31-071",NA,NA,NA,NA
"2694","George Juengst & Son","New York","31-075",NA,"34454","29",NA
"2695","Kenwood Electric Light Co.","New York","31-077","63034","50501","864","1522807"
"2696","Keuka Lake Power Corporation","New York","31-078",NA,NA,NA,NA
"2697","La Fargeville Electric Light Co.","New York","31-080","80743","17690","280","729400"
"2698","The Lawrence Park Heat, Light","New York","31-082",NA,NA,"321",NA
"2699","James H. Leonard","New York","31-084",NA,"661","16","18400"
"2700","The Lockport and Newfane Power","New York","31-086","1394976","235650","3332","8455122"
"2701","Long Island Lighting Company","New York","31-087","48792580","10332272","138065","391461"
"2702","Lorraine Electric Light Co.","New York","31-088","13962","5482",NA,NA
"2703","Mine ville Light, Heat & Power Co.","New York","31-091","27716","21899",NA,"364107"
"2704","Nassau & Suffolk Lighting","New York","31-093","103604","32431","565","6341170"
"2705","New York Power and Light","New York","31-098","114580017","20945593","227627","574999841"
"2706","New York and Queens Electric","New York","31-099","9026522","28018951","390465",NA
"2707","New York State Electric & Gas","New York","31-100","85663520",NA,"208020","493499004"
"2708","The Niagara Falls Power Company","New York","31-103","65417119","11152426",NA,"340352604"
"2709","Niagara, Lockport and Ontario","New York","31-104","51499723","11678909","72084","921173774"
"2710","Northern New York Power","New York","31-106",NA,NA,"1",NA
"2711","Northern Pennsylvania Power","New York","31-110",NA,"143103","2037",NA
"2712","Old Forge Electric Corporation","New York","31-114","802127","108225","1005","2897416"
"2713","The Orange and Rockland Electric","New York","31-116","3681203","880321","10239","24889501"
"2714","Oswegatchie Light & Power Co.","New York","31-118","305284","124024","1671","882"
"2715","The Patchogue Electric Light","New York","31-124","1411904","512101","8823","12594119"
"2716","Paul Smith's Electric Light and","New York","31-126","2849827","382081","3804","3484027"
"2717","Queens Borough Gas and Electric","New York","31-130",NA,"3241655","47070","44888"
"2718","Rochester Gas and Electric","New York","31-135","53343976","11485764","138204","20774164"
"2719","Rockland Light and Power","New York","31-137","20247898","2819279","32953","97013"
"2720","Rossie Electric & Manufacturing","New York","31-141","55021","5758","128","128160"
"2721","The St. Lawrence River Power","New York","31-145","13244621","1309777","2","90297400"
"2722","Shelter Island Light & Power","New York","31-150","106200","33710","528","557900"
"2723","Skaneateles East Lake El. Line,","New York","31-152",NA,NA,"80","00000"
"2724","Staten Island Edison Corporation","New York","31-154","16736","3724747","48858",NA
"2725","System Properties, Inc.","New York","31-158","7528648","307590","8","3283590"
"2726","The Ticonderoga Electric Light &","New York","31-161","179615","85217","1558","2245800"
"2727","Tracy Development Company","New York","31-166","488109",NA,NA,NA
"2728","The Twin State Gas & Electric","New York","31-169",NA,"173651","1838",NA
"2729","Wadhams & Westport Power &","New York","31-176","309801","39163","459","106000"
"2730","The Waverly Electric Light &","New York","31-180",NA,NA,NA,NA
"2731","(Controlled by Associated Gas A Electric Co.)","New York","31-110",NA,NA,NA,NA
"2732","Westchester Lighting Company","New York","31-182","46576407","12719017","151095",NA
"2733","Woodville Electric Light & Power","New York","31-184","55625","19228","381","367310"
"2734","The Yonkers Electric Light and","New York","31-186","19466880","3294367","44386",NA
"2735","Auburn Shank Company","New York","31-210","29039","5434","1",NA
"2736","Bagley and Sewall","New York","31-221",NA,NA,NA,NA
"2737","Beebee Island Corporation","New York","31-225","562510",NA,NA,NA
"2738","Cornell University","New York","31-254","2e+05",NA,NA,NA
"2739","Dexter Sulphite Pulp & Paper","New York","31-276",NA,NA,"1",NA
"2740","Dunn & McCarthy Shoe","New York","31-287",NA,"6980","1",NA
"2741","Dutchess Bleachery, Inc.","New York","31-298","121560","10700","1",NA
"2742","Eastman Kodak Company","New York","31-309",NA,NA,NA,NA
"2743","Electro Metallurgical Company","New York","31-315",NA,NA,NA,NA
"2744","International Paper Company","New York","31-378",NA,NA,NA,NA
"2745","Moreau Manufacturing","New York","31-405",NA,NA,NA,NA
"2746","The New York Air Brake Company","New York","31-421",NA,"48416","8",NA
"2747","North American Cement","New York","31-429",NA,"180","1",NA
"2748","Republic Steel Corporation","New York","31-434",NA,NA,NA,NA
"2749","Ticonderoga Pulp and Paper","New York","31-452",NA,NA,NA,NA
"2750","Union Bag & Paper Power Cor","New York","31-460","5802480","323568","2",NA
"2751","J. B. Wise Company","New York","31-484",NA,NA,NA,NA
"2752","•Akron Water, Light, and Sewer","New York","31-511","71614","37683","747","1537000"
"2753","•""Village of Andover","New York","31-515","35918","17469","469","514539"
"2754","'Angelica Electric Light and","New York","31-519","51481","14416","343","353650"
"2755","'""Arcade Municipal Electric Plant","New York","31-523","305774","70873","1055",NA
"2756","*Bath Electric, Gas, and Water","New York","31-527","407458","87191","1793",NA
"2757","""Village of Bergen Municipal","New York","31-532","55689","15378","285","538642"
"2758","*Boonville Board of Light","New York","31-536","347831","59297","1248","273600"
"2759","""Village of Brocton","New York","31-540",NA,"29049","435","1147800"
"2760","""Castile Municipal Electric Light","New York","31-544","509","14100","318","374000"
"2761","""Village of Churchville Electric","New York","31-548","417","16064","222","816191"
"2762","""Delevan Electric Light","New York","31-553","23392","9622","196","311200"
"2763","""Village of Dering Harbor","New York","31-557",NA,"4008","24","277"
"2764","•Dunkirk Board of Water","New York","31-561","807038","207001","5153","14819917"
"2765","*Endicott Municipal Light Plant","New York","31-565","211000","105372","1835","4788000"
"2766","*Fairport Municipal Electric Plant","New York","31-569","209696","112571","1849","5363000"
"2767","* Frankfort Municipal Electric","New York","31-574","85115","48049","1150","1427600"
"2768","*VilIage of Freeport","New York","31-578","2360182","448458","6669",NA
"2769","*Village of Gouverneur","New York","31-586",NA,NA,NA,NA
"2770","*Greene Electric Department","New York","31-590",NA,"36685","679","193200"
"2771","""""Green Island Electric Light","New York","31-595","80940","43328","1198","1194500"
"2772","*Greenport Electric Light","New York","31-599","418794",NA,"1104",NA
"2773","*Groton Electric Department","New York","31-603","76493","52940","064","2289600"
"2774","""Village of Hamilton, Board of","New York","31-607","137398","66252","879","2094800"
"2775","*Herkimer Municipal Commission","New York","31-611","704768","199771","3486","143040"
"2776","*Holley Municipal Light Plant","New York","31-616","85859","27630","565","1197400"
"2777","*Ilion Board of Light","New York","31-620","293554","118866",NA,"5138000"
"2778","* Jamestown Municipal Electric","New York","31-624","4615108",NA,"15962",NA
"2779","*Lake Placid Village Municipal","New York","31-628","364387","103630","1261","2395550"
"2780","""•Little Valley Electric Light","New York","31-633","104715","27200","685","1469208"
"2781","*Macedon Light and Power","New York","31-637","80312","23140","559","714800"
"2782","""•Marathon Lighting Plant","New York","31-641","50465","23761","410","820480"
"2783",";May viilo Light Department","New York","31-645","60805","30114","494","1263380"
"2784","*Mohawk Municipal Commission","New York","31-649","89535","38802","927","1338240"
"2785","*New York State Department of","New York","31-650","1914000","318941",NA,NA
"2786","*Penn Yan Municipal Board","New York","31-654","387848","102693","2324",NA
"2787","^Philadelphia Municipal Electric","New York","31-658","66500","15400","300","184640"
"2788","*Port Byron Municipal Electric","New York","31-662","38374","17011","333","425854"
"2789","""Village of Potsdam","New York","31-666",NA,NA,NA,"21200"
"2790","*Richmondville Municipal Electric","New York","31-670","43595","17938",NA,NA
"2791","'""The Incorporated Village of","New York","31-675","2588305","425809","5871",NA
"2792","*Rouses Point Municipal Water","New York","31-679","7227","27710","631","733100"
"2793","""Salamanca Water and Light","New York","31-683","384","143236","2829","7667722"
"2794","""Village of Savannah","New York","31-687",NA,"11501","218","635881"
"2795","*Village of Sherburne","New York","31-691","115151","41799","72","138560"
"2796","*Silver Springs Electric","New York","31-696","16475","11554","257","307008"
"2797","*Skaneateles Electric Light","New York","31-700","140474","52000","794","2245818"
"2798","""Village of Solvay","New York","31-704","205239","123812","2353","4996800"
"2799","*Spencerport Electric Department","New York","31-708","84655","27243","49","1092710"
"2800","*Springville Electric Light and","New York","31-712","259878","55263","103","608"
"2801","*VilIage of Theresa","New York","31-716","59637","736","250","65160"
"2802","'Municipal Electric System of the","New York","31-720","213845","05449","1478","2660050"
"2803","""City Light & Power Department","New York","31-725","1460280","124118","32",NA
"2804","* Wat kins Glen Muncipal Electric","New York","31-729","259548","47855","989",NA
"2805","*Wellsville Water and Light","New York","31-733","433472","119910","2132","1314200"
"2806","Carolina Mountain Power","North Carolina","32-033","690335","51174","221",NA
"2807","Carolina Power & Light Company","North Carolina","32-036","94183891","13995938",NA,"146241320"
"2808","Cascade Power Company","North Carolina","32-039",NA,NA,NA,NA
"2809","Central Electric & Telephone Co","North Carolina","32-046",NA,NA,NA,NA
"2810","Craig Electric Lines","North Carolina","32-051","10000","2800","80","50000"
"2811","Crisp Power Co., Inc.","North Carolina","32-054","7000","2400","80","45000"
"2812","Dillsboro and Sylva Electric Light","North Carolina","32-063","168712","38281","817","600460"
"2813","Domestic Electric Service Inc.","North Carolina","32-066","9360","16146","383","392400"
"2814","Duke Power Company","North Carolina","32-069","217288988","29487336",NA,"1368023242"
"2815","Durham Public Service Company","North Carolina",NA,"3172787266",NA,"42516660",NA
"2816","Earp Power, Light &","North Carolina","32-074","10837","1228","32","26760"
"2817","East Side Electric Light","North Carolina","32-075",NA,NA,NA,NA
"2818","East Tennessee Light & Power","North Carolina","32-078",NA,"20574","557",NA
"2819","Edgar Tufts Memorial","North Carolina","32-079",NA,NA,NA,NA
"2820","El Bethel Electric Company","North Carolina","32-081",NA,NA,NA,NA
"2821","Farm Light Company","North Carolina","32-084",NA,NA,NA,NA
"2822","C. L. Hardy & Company","North Carolina","32-096","18858","6321","850","221760"
"2823","Laurel Hill Electric Company","North Carolina","32-102","5765","6001","101","147200"
"2824","Linville Valley Power Company","North Carolina","32-105",NA,NA,NA,NA
"2825","Nantahala Power and Light","North Carolina","32-117",NA,"221764",NA,"5589520"
"2826","Northwest Carolina Utilities,","North Carolina","32-123","1448823","149044","3067","1244380"
"2827","Pamlico Ice & Light Company","North Carolina","32-132","96304","20510","391",NA
"2828","Roanoke Utilities Company","North Carolina","32-141",NA,"24674","390","664000"
"2829","Rocky River Power and Light","North Carolina","32-147",NA,NA,NA,NA
"2830","St. James Light and Power","North Carolina","32-150",NA,NA,NA,NA
"2831","Smoky Mountain Power Company","North Carolina","32-162",NA,"46642",NA,NA
"2832","Tide Water Power Company .","North Carolina","32-174","10162202","1978994","22747","1812450"
"2833","Virginia Electric and. Power","North Carolina","32-177",NA,"1442777","12310",NA
"2834","B. O. Ward","North Carolina","32-179",NA,NA,NA,NA
"2835","Alexander Manufacturing Co.","North Carolina","32-215",NA,"3528","192",NA
"2836","The Biltmore Company","North Carolina","32-220","14000",NA,"7",NA
"2837","Cannon Mills Co.","North Carolina","32-225",NA,"3391","141",NA
"2838","Carolina Aluminum Company","North Carolina","32-230","32794719","4519925","647",NA
"2839","Cleveland Mill & Power Co.","North Carolina","32-231",NA,"68","268",NA
"2840","Cliffside Mills","North Carolina","32-242",NA,"15558",NA,NA
"2841","Entwistle Manufacturing Co.","North Carolina","32-253",NA,NA,NA,NA
"2842","Leward Cotton Mills, Inc.","North Carolina","32-261",NA,NA,NA,NA
"2843","Liggett & Myers Tobacco Co.","North Carolina","32-264",NA,NA,NA,NA
"2844","Long Creek Memorial Baptist","North Carolina","32-270","2000","725","39",NA
"2845","Loray Light and Power Company","North Carolina","32-272",NA,NA,NA,NA
"2846","Mansfield Mills, Inc.","North Carolina","32-278",NA,"1080","241",NA
"2847","Pinehurst, Inc.","North Carolina","32-280",NA,"44694","420",NA
"2848","Raeford Power and Manufactur","North Carolina","32-286",NA,NA,NA,NA
"2849","Rosman Tanning Extract Co.","North Carolina","32-308","5000",NA,"110",NA
"2850","Stowe Mills, Inc.","North Carolina","32-312",NA,NA,NA,NA
"2851","Union Mills Co.","North Carolina","32-322",NA,"830","73",NA
"2852","Washington Mills Co.","North Carolina","32-330",NA,"15215","474",NA
"2853","Waverly Mills, Inc.","North Carolina","32-331","20000","1897","280",NA
"2854","*Albemarle Municipal Light","North Carolina","32-513","100864","112278","1492","4056020"
"2855","""Town of Apex","North Carolina","32-516","18000","16098","318","408160"
"2856","*City of Asheville","North Carolina","32-518",NA,NA,NA,NA
"2857","*Town of Aurora","North Carolina","32-519",NA,NA,NA,NA
"2858","*Ayden Water and Light","North Carolina","32-522",NA,"28092","604","736400"
"2859","""Town of Belhaven","North Carolina","32-525",NA,"24321","460",NA
"2860","""Town of Benson","North Carolina","32-528","20000","31257","748","792000"
"2861","*Benton Heights Municipal Light","North Carolina","32-531",NA,"49","173","10760"
"2862","Town of Bostic","North Carolina","32-533",NA,NA,"65","1e+05"
"2863","""Town of Black Creek","North Carolina","32-534",NA,NA,NA,NA
"2864","*Cherryville Light Department","North Carolina","32-537","132776","25687","672","1181840"
"2865","""Town of Clayton","North Carolina","32-540",NA,"23912","512","597000"
"2866","'Concord Board of Light and","North Carolina","32-546","1145779","239914","4474","13031880"
"2867","""Town of Cornelius","North Carolina","32-549","50000","9286","330","317740"
"2868","""Town of Dallas","North Carolina","32-552","90000","12087","450","443904"
"2869","""Town of Davidson","North Carolina","32-555",NA,"25859","395","1074779"
"2870","'Durham Water Department","North Carolina","32-558",NA,"9883","1",NA
"2871","""Town of Drexel","North Carolina","32-561","29180","6152","243","209760"
"2872","*Edenton Electric and Water","North Carolina","32-564","96328","43263",NA,"1393800"
"2873","* Public Utility Commission of the","North Carolina","32-567","440698","220046","2779","8610400"
"2874","*Elm City Electric Light","North Carolina","32-570",NA,"11473","284","355000"
"2875","•""Town of Enfield","North Carolina","32-573","85000","31601","500","791100"
"2876","*Town of Farmville, Water","North Carolina","32-576","244824",NA,"800",NA
"2877","*Public Works Commission, City","North Carolina","32-579","1456057","369736","4429","11464800"
"2878","""Town of Forest City","North Carolina","32-582","56952","49392","896","2053380"
"2879","""Fountain Municipal Electric","North Carolina","32-585",NA,"4605",NA,NA
"2880","'Fremont Light and Water","North Carolina","32-588",NA,"13875",NA,"410190"
"2881","* City of Gastonia","North Carolina","32-591","465998","288728","3733","11204100"
"2882","""Town of Granite Falls","North Carolina","32-594",NA,NA,NA,NA
"2883","""Greenville Utilities Comm.","North Carolina","32-597","1878085","328015",NA,NA
